"motor:","AeroTech F67W"
"contributor:","Mark Koelsch"
"details:","https://www.thrustcurve.org/simfiles/5f4294d20002e9000000088a/"

"Time (s)","Thrust (N)"
0.002,66.662
0.008,71.441
0.016,74.505
0.039,77.936
0.068,80.632
0.099,82.592
0.148,84.43
0.201,85.533
0.257,86.146
0.298,86.023
0.399,84.185
0.483,82.96
0.499,82.347
0.568,80.019
0.601,78.794
0.625,77.936
0.654,78.058
0.672,75.853
0.687,71.073
0.7,67.52
0.714,62.005
0.731,53.06
0.748,44.482
0.764,35.659
0.778,26.836
0.789,20.954
0.797,18.013
0.812,12.499
0.832,7.107
0.849,3.676
0.87,1.225
0.898,0.368
0.92,0
